Date,Home_Team,Score,Away_Team
14-08-2023,Celta,2 - 2,Getafe
14-08-2023,Getafe,1 - 1,Betis
14-08-2023,Mallorca,0 - 0,Getafe
14-08-2023,Getafe,1 - 0,Cadiz
14-08-2023,Granada,1 - 1,Getafe
14-08-2023,Getafe,2 - 1,Almeria
14-08-2023,Las Palmas,2 - 0,Getafe
14-08-2023,Getafe,1 - 0,Valencia
14-08-2023,Sevilla,0 - 3,Getafe
14-08-2023,Ath Madrid,3 - 3,Getafe
14-08-2023,Getafe,0 - 2,Vallecano
14-08-2023,Osasuna,3 - 2,Getafe
14-08-2023,Getafe,2 - 0,Granada
14-08-2023,Getafe,0 - 2,Real Madrid
14-08-2023,Betis,1 - 1,Getafe
14-08-2023,Getafe,3 - 2,Celta
14-08-2023,Villarreal,1 - 1,Getafe
14-08-2023,Barcelona,4 - 0,Getafe
14-08-2023,Getafe,3 - 3,Las Palmas
14-08-2023,Valencia,1 - 0,Getafe
14-08-2023,Getafe,1 - 0,Girona
14-08-2023,Getafe,0 - 1,Sevilla
14-08-2023,Vallecano,0 - 0,Getafe
14-08-2023,Getafe,1 - 1,Sociedad
14-08-2023,Almeria,1 - 3,Getafe
14-08-2023,Getafe,0 - 2,Ath Bilbao
14-08-2023,Cadiz,1 - 0,Getafe
14-08-2023,Getafe,0 - 3,Ath Madrid
14-08-2023,Alaves,1 - 0,Getafe
14-08-2023,Getafe,? - ?,Mallorca
14-08-2023,Sociedad,1 - 1,Girona
14-08-2023,Girona,3 - 0,Getafe
14-08-2023,Sevilla,1 - 2,Girona
14-08-2023,Girona,1 - 0,Las Palmas
14-08-2023,Granada,2 - 4,Girona
14-08-2023,Girona,5 - 3,Mallorca
14-08-2023,Villarreal,1 - 2,Girona
14-08-2023,Girona,0 - 3,Real Madrid
14-08-2023,Cadiz,0 - 1,Girona
14-08-2023,Girona,5 - 2,Almeria
14-08-2023,Girona,1 - 0,Celta
14-08-2023,Osasuna,2 - 4,Girona
14-08-2023,Vallecano,1 - 2,Girona
14-08-2023,Girona,1 - 1,Ath Bilbao
14-08-2023,Girona,2 - 1,Valencia
14-08-2023,Barcelona,2 - 4,Girona
14-08-2023,Girona,3 - 0,Alaves
14-08-2023,Betis,1 - 1,Girona
14-08-2023,Girona,4 - 3,Ath Madrid
14-08-2023,Almeria,0 - 0,Girona
14-08-2023,Girona,5 - 1,Sevilla
14-08-2023,Celta,0 - 1,Girona
14-08-2023,Girona,0 - 0,Sociedad
14-08-2023,Real Madrid,4 - 0,Girona
14-08-2023,Ath Bilbao,3 - 2,Girona
14-08-2023,Girona,3 - 0,Vallecano
14-08-2023,Mallorca,1 - 0,Girona
14-08-2023,Girona,2 - 0,Osasuna
14-08-2023,Getafe,1 - 0,Girona
14-08-2023,Girona,3 - 2,Betis
14-08-2023,Ath Madrid,3 - 1,Girona
14-08-2023,Girona,4 - 1,Cadiz
14-08-2023,Las Palmas,0 - 2,Girona
14-08-2023,Girona,4 - 2,Barcelona
14-08-2023,Alaves,2 - 2,Girona
14-08-2023,Girona,0 - 1,Villarreal
14-08-2023,Valencia,1 - 3,Girona
14-08-2023,Girona,? - ?,Granada
14-08-2023,Ath Madrid,3 - 1,Granada
14-08-2023,Granada,0 - 2,Vallecano
14-08-2023,Granada,3 - 2,Mallorca
14-08-2023,Sociedad,5 - 3,Granada
14-08-2023,Granada,2 - 4,Girona
14-08-2023,Las Palmas,1 - 0,Granada
14-08-2023,Granada,1 - 1,Betis
14-08-2023,Almeria,3 - 3,Granada
14-08-2023,Granada,2 - 2,Barcelona
14-08-2023,Osasuna,2 - 0,Granada
14-08-2023,Granada,2 - 3,Villarreal
14-08-2023,Valencia,1 - 0,Granada
14-08-2023,Granada,1 - 1,Getafe
14-08-2023,Alaves,3 - 1,Granada
14-08-2023,Real Madrid,2 - 0,Granada
14-08-2023,Granada,1 - 1,Ath Bilbao
14-08-2023,Celta,1 - 0,Granada
14-08-2023,Granada,0 - 3,Sevilla
14-08-2023,Granada,2 - 0,Cadiz
14-08-2023,Betis,1 - 0,Granada
14-08-2023,Granada,0 - 1,Ath Madrid
14-08-2023,Getafe,2 - 0,Granada
14-08-2023,Granada,1 - 1,Las Palmas
14-08-2023,Barcelona,3 - 3,Granada
14-08-2023,Granada,1 - 1,Almeria
14-08-2023,Villarreal,5 - 1,Granada
14-08-2023,Granada,2 - 3,Sociedad
14-08-2023,Mallorca,1 - 0,Granada
14-08-2023,Cadiz,1 - 0,Granada
14-08-2023,Granada,0 - 1,Valencia
14-08-2023,Granada,2 - 0,Alaves
14-08-2023,Ath Bilbao,1 - 1,Granada
14-08-2023,Granada,3 - 0,Osasuna
14-08-2023,Sevilla,3 - 0,Granada
14-08-2023,Granada,0 - 4,Real Madrid
14-08-2023,Vallecano,2 - 1,Granada
14-08-2023,Granada,1 - 2,Celta
14-08-2023,Girona,? - ?,Granada
14-08-2023,Las Palmas,1 - 1,Mallorca
14-08-2023,Valencia,1 - 0,Las Palmas
14-08-2023,Las Palmas,0 - 0,Sociedad
14-08-2023,Girona,1 - 0,Las Palmas
14-08-2023,Sevilla,1 - 0,Las Palmas
14-08-2023,Las Palmas,1 - 0,Granada
14-08-2023,Real Madrid,2 - 0,Las Palmas
14-08-2023,Las Palmas,2 - 1,Celta
14-08-2023,Villarreal,1 - 2,Las Palmas
14-08-2023,Las Palmas,0 - 1,Vallecano
14-08-2023,Almeria,1 - 2,Las Palmas
14-08-2023,Las Palmas,2 - 1,Ath Madrid
14-08-2023,Osasuna,1 - 1,Las Palmas
14-08-2023,Betis,1 - 0,Las Palmas
14-08-2023,Las Palmas,2 - 0,Getafe
14-08-2023,Alaves,0 - 1,Las Palmas
14-08-2023,Las Palmas,1 - 1,Cadiz
14-08-2023,Ath Bilbao,1 - 0,Las Palmas
14-08-2023,Las Palmas,1 - 2,Barcelona
14-08-2023,Las Palmas,3 - 0,Villarreal
14-08-2023,Vallecano,0 - 2,Las Palmas
14-08-2023,Las Palmas,1 - 2,Real Madrid
14-08-2023,Granada,1 - 1,Las Palmas
14-08-2023,Las Palmas,2 - 0,Valencia
14-08-2023,Ath Madrid,5 - 0,Las Palmas
14-08-2023,Las Palmas,1 - 1,Osasuna
14-08-2023,Getafe,3 - 3,Las Palmas
14-08-2023,Las Palmas,0 - 2,Ath Bilbao
14-08-2023,Las Palmas,0 - 1,Almeria
14-08-2023,Barcelona,1 - 0,Las Palmas
14-08-2023,Las Palmas,0 - 2,Sevilla
14-08-2023,Celta,4 - 1,Las Palmas
14-08-2023,Las Palmas,0 - 2,Girona
14-08-2023,Sociedad,2 - 0,Las Palmas
14-08-2023,Mallorca,1 - 0,Las Palmas
14-08-2023,Las Palmas,2 - 2,Betis
14-08-2023,Cadiz,0 - 0,Las Palmas
14-08-2023,Las Palmas,? - ?,Alaves
14-08-2023,Las Palmas,1 - 1,Mallorca
14-08-2023,Mallorca,0 - 1,Villarreal
14-08-2023,Granada,3 - 2,Mallorca
14-08-2023,Mallorca,0 - 0,Ath Bilbao
14-08-2023,Celta,0 - 1,Mallorca
14-08-2023,Girona,5 - 3,Mallorca
14-08-2023,Mallorca,2 - 2,Barcelona
14-08-2023,Vallecano,2 - 2,Mallorca
14-08-2023,Mallorca,1 - 1,Valencia
14-08-2023,Sociedad,1 - 0,Mallorca
14-08-2023,Mallorca,0 - 0,Getafe
14-08-2023,Betis,2 - 0,Mallorca
14-08-2023,Ath Madrid,1 - 0,Mallorca
14-08-2023,Mallorca,1 - 1,Cadiz
14-08-2023,Mallorca,0 - 0,Alaves
14-08-2023,Mallorca,1 - 0,Sevilla
14-08-2023,Almeria,0 - 0,Mallorca
14-08-2023,Mallorca,3 - 2,Osasuna
14-08-2023,Real Madrid,1 - 0,Mallorca
14-08-2023,Mallorca,1 - 1,Celta
14-08-2023,Villarreal,1 - 1,Mallorca
14-08-2023,Mallorca,0 - 1,Betis
14-08-2023,Ath Bilbao,4 - 0,Mallorca
14-08-2023,Mallorca,2 - 1,Vallecano
14-08-2023,Mallorca,1 - 2,Sociedad
14-08-2023,Alaves,1 - 1,Mallorca
14-08-2023,Mallorca,1 - 0,Girona
14-08-2023,Barcelona,1 - 0,Mallorca
14-08-2023,Mallorca,1 - 0,Granada
14-08-2023,Valencia,0 - 0,Mallorca
14-08-2023,Mallorca,0 - 1,Real Madrid
14-08-2023,Sevilla,2 - 1,Mallorca
14-08-2023,Cadiz,1 - 1,Mallorca
14-08-2023,Mallorca,0 - 1,Ath Madrid
14-08-2023,Mallorca,1 - 0,Las Palmas
14-08-2023,Osasuna,1 - 1,Mallorca
14-08-2023,Mallorca,2 - 2,Almeria
14-08-2023,Getafe,? - ?,Mallorca
14-08-2023,Celta,0 - 2,Osasuna
14-08-2023,Osasuna,0 - 2,Ath Bilbao
14-08-2023,Valencia,1 - 2,Osasuna
14-08-2023,Osasuna,1 - 2,Barcelona
14-08-2023,Getafe,3 - 2,Osasuna
14-08-2023,Osasuna,0 - 0,Sevilla
14-08-2023,Osasuna,0 - 2,Ath Madrid
14-08-2023,Alaves,0 - 2,Osasuna
14-08-2023,Real Madrid,4 - 0,Osasuna
14-08-2023,Osasuna,2 - 0,Granada
14-08-2023,Betis,2 - 1,Osasuna
14-08-2023,Osasuna,2 - 4,Girona
14-08-2023,Osasuna,1 - 1,Las Palmas
14-08-2023,Villarreal,3 - 1,Osasuna
14-08-2023,Osasuna,1 - 1,Sociedad
14-08-2023,Cadiz,1 - 1,Osasuna
14-08-2023,Osasuna,1 - 0,Vallecano
14-08-2023,Mallorca,3 - 2,Osasuna
14-08-2023,Osasuna,1 - 0,Almeria
14-08-2023,Osasuna,3 - 2,Getafe
14-08-2023,Sevilla,1 - 1,Osasuna
14-08-2023,Barcelona,1 - 0,Osasuna
14-08-2023,Osasuna,0 - 3,Celta
14-08-2023,Sociedad,0 - 1,Osasuna
14-08-2023,Osasuna,2 - 0,Cadiz
14-08-2023,Las Palmas,1 - 1,Osasuna
14-08-2023,Osasuna,1 - 0,Alaves
14-08-2023,Girona,2 - 0,Osasuna
14-08-2023,Osasuna,2 - 4,Real Madrid
14-08-2023,Almeria,0 - 3,Osasuna
14-08-2023,Osasuna,0 - 1,Valencia
14-08-2023,Vallecano,2 - 1,Osasuna
14-08-2023,Granada,3 - 0,Osasuna
14-08-2023,Osasuna,0 - 2,Betis
14-08-2023,Ath Bilbao,2 - 2,Osasuna
14-08-2023,Osasuna,1 - 1,Mallorca
14-08-2023,Ath Madrid,1 - 4,Osasuna
14-08-2023,Osasuna,? - ?,Villarreal
14-08-2023,Ath Bilbao,0 - 2,Real Madrid
14-08-2023,Almeria,1 - 3,Real Madrid
14-08-2023,Celta,0 - 1,Real Madrid
14-08-2023,Real Madrid,2 - 1,Getafe
14-08-2023,Real Madrid,2 - 1,Sociedad
14-08-2023,Ath Madrid,3 - 1,Real Madrid
14-08-2023,Real Madrid,2 - 0,Las Palmas
14-08-2023,Girona,0 - 3,Real Madrid
14-08-2023,Real Madrid,4 - 0,Osasuna
14-08-2023,Sevilla,1 - 1,Real Madrid
14-08-2023,Barcelona,1 - 2,Real Madrid
14-08-2023,Real Madrid,0 - 0,Vallecano
14-08-2023,Real Madrid,5 - 1,Valencia
14-08-2023,Cadiz,0 - 3,Real Madrid
14-08-2023,Real Madrid,2 - 0,Granada
14-08-2023,Betis,1 - 1,Real Madrid
14-08-2023,Real Madrid,4 - 1,Villarreal
14-08-2023,Alaves,0 - 1,Real Madrid
14-08-2023,Real Madrid,1 - 0,Mallorca
14-08-2023,Real Madrid,3 - 2,Almeria
